Altium Designer Pick and Place Locations
G:\github-acme\Control_Board_Model_C_(HW_Package)\20201215\Assembly\Pick_n_Place\BG95-M3_Global_TFT_SCREEN\20201215-SGU-Acme_CPU_Control_Board_C201_001_Pick_and_Place.txt

========================================================================================================================
File Design Information:

Date:       22/12/20
Time:       11:16
Revision:   9f4f32aa3b2fdfe45095d4dd2dc0797d616b20d4
Variant:    BG95-M3_Global_TFT_SCREEN
Units used: mil

Designator Comment                                      Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                          
D10        NSR0140P2T5G                                 BottomLayer SODFL100X40-2N                   925.000       550.000       90       "Diode Schottky 30V 70mA (DC) Surface Mount SOD-923"                                                                                                 
D4         NSR0140P2T5G                                 BottomLayer SODFL100X40-2N                   2135.000      1670.000      360      "Diode Schottky 30V 70mA (DC) Surface Mount SOD-923"                                                                                                 
L2         "FIXED IND 1UH 2.4A 54 MOHM MAX"             TopLayer    IND_WE_LQSH_3012                 3750.000      1325.000      180      "1µH Semi-Shielded Wirewound Inductor 2.4A 54mOhm Max Nonstandard"                                                                                   
L5         "FIXED IND COUIPLED 2.2UH 3.2A 22 MOHM SMD"  TopLayer    IND_MSD1048H                     1525.000      500.000       270      "2.2µH Shielded Coupled Inductors 3.2A 22mOhm Max 4040 (10.3x10.3 Metric)"                                                                           
L4         "FIXED IND COUIPLED 6.8UH 1.2A 160 mOHM SMD" TopLayer    IND_LPD5030                      3500.000      1075.000      360      "6.8µH Shielded Coupled Inductors 1.2A 160mOhm Max 1919 (4.8x4.8 Metric)"                                                                            
C13        "CAP ALUM 68 UF 20% 25 V SMD"                TopLayer    WCAP-ASLI_6.3X5.5                950.000       250.000       180      "68µF 25V Aluminum Electrolytic Capacitors Radial, Can - SMD  2000 Hrs @ 105°C"                                                                      
U34        ATECC608A-MAHDA-S                            TopLayer    UDFN8_2X3MC_MCH                  725.000       1850.000      180      "Authentication Chip 8-UDFN (2x3)"                                                                                                                   
U23        TPD6S300ARUKR                                BottomLayer WQFN20_RUK_TEX                   525.000       650.000       360      "USB Type-C™ Port Protector: Short-to-VBUS Overvoltage  and IEC ESD Protection"                                                                      
P28        S202                                         TopLayer    CONN_0545500571                  625.000       2628.346      180      "5 Position FFC, FPC Connector Contacts, Top 0.020" (0.50mm) Surface Mount, Right Angle"                                                             
P22        "BLDC I2C"                                   TopLayer    CONN_S5B-ZR(LF)(SN)              1675.000      182.677       360      "Connector Header Through Hole, Right Angle 5 position 0.059" (1.50mm)"                                                                              
P20        S201                                         TopLayer    CONN_0545500571                  1025.000      2628.346      180      "5 Position FFC, FPC Connector Contacts, Top 0.020" (0.50mm) Surface Mount, Right Angle"                                                             
P18        BATT                                         TopLayer    CONN_S3B-ZR_JST                  625.000       182.677       360      "Connector Header Through Hole, Right Angle 3 position 0.059" (1.50mm)"                                                                              
