Altium Designer Pick and Place Locations
G:\github-acme\Control_Board_Model_C_(HW_Package)\20201215\Assembly\Pick_n_Place\BG95-M3_Global_TFT_SCREEN\20201215-SGU-Acme_CPU_Control_Board_C201_001_Pick_and_Place.txt

========================================================================================================================
File Design Information:

Date:       22/12/20
Time:       11:16
Revision:   9f4f32aa3b2fdfe45095d4dd2dc0797d616b20d4
Variant:    BG95-M3_Global_TFT_SCREEN
Units used: mil

Designator Comment                                      Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                          
R99        "RES SMD 536K OHM 1% 1/16W 0402"             TopLayer    R0402                            3500.000      1385.000      180      "536 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R98        "RES SMD 100K OHM 1% 1/16W 0402"             TopLayer    R0402                            3500.000      1345.000      360      "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R97        "RES SMD 100K OHM 1% 1/16W 0402"             TopLayer    R0402                            3500.000      1300.000      360      "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R168       "RES SMD 11K OHM 1% 1/16W 0402"              TopLayer    R0402                            1225.000      1190.000      270      "11 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R167       "RES SMD 44.2K OHM 1% 1/16W 0402"            TopLayer    R0402                            1410.000      1125.000      270      "44.2 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R166       "RES SMD 2.7K OHM 1% 1/16W 0402"             TopLayer    R0402                            1370.000      1125.000      270      "2.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R165       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            1450.000      1125.000      90       "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R164       DNP*                                         TopLayer    R0402                            1340.000      920.000       360      "Placeholder for a 0402 resistor"                                                                                                                    
R163       "RES SMD 1.2K OHM 1% 1/16W 0402"             TopLayer    R0402                            1530.000      1140.000      270      "1.2 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R162       "RES SMD 54.9K OHM 1% 1/16W 0402"            TopLayer    R0402                            1385.000      1010.000      90       "54.9 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R96        "RES SMD 0 OHM JUMPER 1/16W 0402"            TopLayer    R0402                            1050.000      1400.000      270      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R95        "RES SMD 100 OHM 1% 1/16W 0402"              TopLayer    R0402                            600.000       2200.000      270      "100 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R94        "RES SMD 100 OHM 1% 1/16W 0402"              TopLayer    R0402                            965.000       2320.000      90       "100 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R93        "RES SMD 100 OHM 1% 1/16W 0402"              TopLayer    R0402                            1100.000      1800.000      180      "100 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R92        "RES SMD 100 OHM 1% 1/16W 0402"              TopLayer    R0402                            1100.000      2150.000      180      "100 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R91        "RES SMD 100 OHM 1% 1/16W 0402"              TopLayer    R0402                            920.000       2320.000      90       "100 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R90        "RES SMD 2.2 OHM 5% 1W 2512"                 TopLayer    R2512                            2250.000      525.000       270      "2.2 Ohms ±5% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200 Thick Film"                                                                    
R89        "RES SMD 2.2 OHM 5% 1W 2512"                 TopLayer    R2512                            1900.000      525.000       270      "2.2 Ohms ±5% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200 Thick Film"                                                                    
R88        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            2135.000      550.000       270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R87        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            2175.000      550.000       270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R86        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            2215.000      425.000       180      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R85        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            2215.000      465.000       180      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R84        "RES SMD 47K OHM 1% 1/16W 0402"              BottomLayer R0402                            1950.000      445.000       360      "47 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R83        "RES SMD 1K OHM 1% 1/16W 0402"               BottomLayer R0402                            1950.000      485.000       360      "1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                           
R82        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            1810.000      385.000       90       "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R81        "RES SMD 360KOHM 1% 1/16W 0402"              BottomLayer R0402                            1810.000      465.000       90       "360 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R80        "RES SMD 18.2K OHM 1% 1/16W 0402"            BottomLayer R0402                            2015.000      550.000       90       "18.2 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R79        "RES SMD 18.2K OHM 1% 1/16W 0402"            BottomLayer R0402                            2055.000      550.000       90       "18.2 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R78        "RES SMD 68.1K OHM 1% 1/16W 0402"            BottomLayer R0402                            1850.000      465.000       90       "68.1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R77        DNP*                                         BottomLayer R0402                            565.000       2650.000      90       "Placeholder for a 0402 resistor"                                                                                                                    
R76        DNP*                                         BottomLayer R0402                            965.000       2650.000      90       "Placeholder for a 0402 resistor"                                                                                                                    
R75        "RES SMD 0 OHM JUMPER 1/16W 0402"            BottomLayer R0402                            730.000       2440.000      180      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R74        "RES SMD 0 OHM JUMPER 1/16W 0402"            BottomLayer R0402                            1130.000      2435.000      180      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R153       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            1355.000      2325.000      90       "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R152       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            1240.000      2650.000      270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R151       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            1360.000      2650.000      270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R150       "RES SMD 4.75K OHM 1% 1/16W 0402"            TopLayer    R0402                            1435.000      2325.000      270      "4.75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R149       "RES SMD 4.75K OHM 1% 1/16W 0402"            TopLayer    R0402                            1395.000      2325.000      270      "4.75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R148       "RES SMD 4.75K OHM 1% 1/16W 0402"            TopLayer    R0402                            1315.000      2325.000      270      "4.75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R147       "RES SMD 4.75K OHM 1% 1/16W 0402"            TopLayer    R0402                            1275.000      2325.000      270      "4.75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R146       "RES SMD 4.75K OHM 1% 1/16W 0402"            TopLayer    R0402                            1280.000      2650.000      90       "4.75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R145       "RES SMD 4.75K OHM 1% 1/16W 0402"            TopLayer    R0402                            1320.000      2650.000      90       "4.75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R161       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            1595.000      2560.000      270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R160       "RES SMD 402 OHM 1% 1/16W 0402"              BottomLayer R0402                            1595.000      2560.000      90       "402 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R159       "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            1630.000      2455.000      270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R67        "RES SMD 2.7K OHM 1% 1/16W 0402"             TopLayer    R0402                            350.000       1750.000      90       "2.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R66        "RES SMD 2.7K OHM 1% 1/16W 0402"             TopLayer    R0402                            615.000       1735.000      360      "2.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R65        DNP*                                         TopLayer    R0402                            695.000       1735.000      180      "2.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R64        DNP*                                         TopLayer    R0402                            975.000       1700.000      360      "2.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R63        "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            460.000       1950.000      180      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R62        "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            460.000       2100.000      360      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R61        "RES SMD 0 OHM JUMPER 1/16W 0402"            TopLayer    R0402                            560.000       2200.000      270      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R60        "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            480.000       2200.000      90       "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R59        "RES SMD 100 OHM 1% 1/16W 0402"              TopLayer    R0402                            520.000       2200.000      270      "100 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R58        "RES SMD 100K OHM 1% 1/16W 0402"             BottomLayer R0402                            3145.000      2125.000      270      "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R57        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            3105.000      2125.000      90       "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R56        "RES SMD 100K OHM 1% 1/16W 0402"             BottomLayer R0402                            3105.000      1925.000      90       "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R55        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            3145.000      1925.000      270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R54        "RES SMD 100K OHM 1% 1/16W 0402"             BottomLayer R0402                            3145.000      1560.000      0        "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R53        "RES SMD 5.1K OHM 1% 1/16W 0402"             BottomLayer R0402                            3225.000      1560.000      180      "5.1 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R51        "RES SMD 0 OHM JUMPER 1/16W 0402"            TopLayer    R0402                            2750.000      2525.000      180      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R46        "RES SMD 2K OHM 1% 1/16W 0402"               BottomLayer R0402                            3075.000      2625.000      90       "2 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                           
R44        "RES SMD 2K OHM 1% 1/16W 0402"               BottomLayer R0402                            2875.000      2625.000      90       "2 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                           
R43        "RES SMD 2K OHM 1% 1/16W 0402"               BottomLayer R0402                            2975.000      2625.000      90       "2 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                           
R42        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            2490.000      2170.000      360      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R39        "RES SMD 0 OHM JUMPER 1/16W 0402"            BottomLayer R0402                            2625.000      2100.000      180      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R34        "RES SMD 402 OHM 1% 1/16W 0402"              BottomLayer R0402                            2525.000      2625.000      90       "402 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R31        "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            2360.000      2525.000      90       "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R33        "RES SMD 402 OHM 1% 1/16W 0402"              BottomLayer R0402                            2625.000      2625.000      90       "402 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R32        "RES SMD 402 OHM 1% 1/16W 0402"              BottomLayer R0402                            2725.000      2625.000      90       "402 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R30        DNP*                                         BottomLayer R0402                            425.000       2550.000      360      "Placeholder for a 0402 resistor"                                                                                                                    
R29        "RES SMD 0 OHM JUMPER 1/16W 0402"            BottomLayer R0402                            425.000       2510.000      180      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R28        DNP*                                         BottomLayer R0402                            425.000       2625.000      180      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R27        DNP*                                         BottomLayer R0402                            1410.000      550.000       270      "Placeholder for a 0402 resistor"                                                                                                                    
R26        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            1410.000      445.000       270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R25        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            1290.000      445.000       270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R24        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            1370.000      550.000       270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R23        "RES SMD 0 OHM JUMPER 1/16W 0402"            BottomLayer R0402                            1370.000      445.000       270      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R22        "RES SMD 0 OHM JUMPER 1/16W 0402"            BottomLayer R0402                            1330.000      445.000       270      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R21        "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            1330.000      550.000       270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R20        "RES SMD 10 OHM 1% 1/16W 0402"               TopLayer    R0402                            2050.000      1625.000      180      "10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200, Moisture Resistant Thick Film"                                      
R19        "RES SMD 0 OHM JUMPER 1/16W 0402"            BottomLayer R0402                            1725.000      1475.000      90       "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R18        "RES SMD 0 OHM JUMPER 1/16W 0402"            BottomLayer R0402                            1780.000      1475.000      90       "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R6         "RES SMD 2.7K OHM 1% 1/16W 0402"             TopLayer    R0402                            1515.000      2325.000      270      "2.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R5         "RES SMD 2.7K OHM 1% 1/16W 0402"             TopLayer    R0402                            1475.000      2325.000      270      "2.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R3         "RES SMD 5.36K OHM 1% 1/16W 0402"            BottomLayer R0402                            275.000       195.000       360      "5.36 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R2         "RES SMD 31.6K OHM 1% 1/16W 0402"            BottomLayer R0402                            275.000       235.000       360      "31.6 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                        
R1         "RES SMD 10K OHM 1% 1/16W 0402"              BottomLayer R0402                            275.000       275.000       180      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
Q14        BC847CW,115                                  TopLayer    SOT-323                          1294.994      1175.000      90       "Bipolar (BJT) Transistor NPN 45V 100mA 100MHz 200mW Surface Mount SOT-323-3"                                                                        
Q11        BC847CW,115                                  TopLayer    SOT-323                          400.000       2024.994      180      "Bipolar (BJT) Transistor NPN 45V 100mA 100MHz 200mW Surface Mount SOT-323-3"                                                                        
Q10        BC847CW,115                                  TopLayer    SOT-323                          520.000       2025.006      360      "Bipolar (BJT) Transistor NPN 45V 100mA 100MHz 200mW Surface Mount SOT-323-3"                                                                        
Q8         DTC143ZET1G                                  TopLayer    SOT-416FL_ONS                    2500.000      1800.000      360      "Pre-Biased Bipolar Transistor (BJT) NPN - Pre-Biased 50V 100mA  200mW Surface Mount SC-75, SOT-416"                                                 
Q7         DTC143ZET1G                                  TopLayer    SOT-416FL_ONS                    2500.000      1900.000      360      "Pre-Biased Bipolar Transistor (BJT) NPN - Pre-Biased 50V 100mA  200mW Surface Mount SC-75, SOT-416"                                                 
Q6         DTC143ZET1G                                  BottomLayer SOT-416FL_ONS                    2825.000      2400.000      360      "Pre-Biased Bipolar Transistor (BJT) NPN - Pre-Biased 50V 100mA  200mW Surface Mount SC-75, SOT-416"                                                 
Q4         DTC143ZET1G                                  BottomLayer SOT-416FL_ONS                    2800.000      2225.000      360      "Pre-Biased Bipolar Transistor (BJT) NPN - Pre-Biased 50V 100mA  200mW Surface Mount SC-75, SOT-416"                                                 
Q3         DTC143ZET1G                                  BottomLayer SOT-416FL_ONS                    2800.000      2315.000      360      "Pre-Biased Bipolar Transistor (BJT) NPN - Pre-Biased 50V 100mA  200mW Surface Mount SC-75, SOT-416"                                                 
Q2         BSS816NWH6327XTSA1                           TopLayer    SOT-323                          2275.000      2524.994      180      "N-Channel 20V 1.4A (Ta) 500mW (Ta) Surface Mount PG-SOT323-3"                                                                                       
P102       "uSD Card"                                   BottomLayer 5025700893                       3618.602      602.461       90       "10 (8 + 2) Position Card Connector Secure Digital - microSD™ Surface Mount, Right Angle Gold"                                                       
P25        "Stepper Motor"                              TopLayer    CONN_S4B-ZR(LF)(SN)              2075.000      182.677       360      "Connector Header Through Hole, Right Angle 4 position 0.059" (1.50mm)"                                                                              
P24        BUZZ                                         BottomLayer SMT-0440-S-R_PUI                 2225.000      2600.000      270      "Buzzers Transducer, Externally Driven 90mA 4kHz 70dB @ 3V, 10cm Surface Mount Solder Pads"                                                          
P23        "SYS_FAULT"                                  BottomLayer LED_0603                         2475.000      2625.000      270      "Red 631nm LED Indication - Discrete 2V 0603 (1608 Metric)"                                                                                          
P19.1      ""Batt Temp""                                TopLayer    CONN_S2B-ZR_JST                  375.000       182.677       360      "Connector Header Through Hole, Right Angle 2 position 0.059" (1.50mm)"                                                                              
P16        "DC Motor"                                   TopLayer    CONN_S4B-ZR(LF)(SN)              1300.000      182.677       360      "Connector Header Through Hole, Right Angle 4 position 0.059" (1.50mm)"                                                                              
P15        "ON"                                         BottomLayer LED_0603                         2575.000      2625.000      270      "Blue 470nm LED Indication - Discrete 3.3V 0603 (1608 Metric)"                                                                                       
P10        USB                                          BottomLayer MOLEX_2012670005                 191.142       825.000       90       "USB-C (USB TYPE-C) USB 3.2 Gen 2 (USB 3.1 Gen 2, Superspeed + (USB 3.1)) Receptacle Connector 24 Position Surface Mount, Right Angle; Through Hole" 
P09        "PWR"                                        BottomLayer LED_0603                         2675.000      2625.000      270      "Yellow 591nm LED Indication - Discrete 2.1V 0603 (1608 Metric)"                                                                                     
MNT4       "MountHole M2. Nothing to buy or mount"      TopLayer    MOUNTHOLE_M2                     3818.898      118.110       0        "PCB Mount Hole. There is nothing to buy or mount."                                                                                                  
MNT3       "MountHole M2. Nothing to buy or mount"      TopLayer    MOUNTHOLE_M2                     3818.898      2637.795      0        "PCB Mount Hole. There is nothing to buy or mount."                                                                                                  
MNT2       "MountHole M2. Nothing to buy or mount"      TopLayer    MOUNTHOLE_M2                     118.110       118.110       0        "PCB Mount Hole. There is nothing to buy or mount."                                                                                                  
MNT1       "MountHole M2. Nothing to buy or mount"      TopLayer    MOUNTHOLE_M2                     118.110       2637.795      0        "PCB Mount Hole. There is nothing to buy or mount."                                                                                                  
L3         "FIXED IND 1UH 2.5A 75 MOHM SMD"             TopLayer    74438323010                      1350.000      1425.000      90       "1µH Shielded Molded Inductor 2.5A 75mOhm Max 1008 (2520 Metric)"                                                                                    
L1         "FIXED IND 1UH 5A 24 MOHM SMD"               TopLayer    IND_IHLP-1212B00                 525.000       400.000       270      "1µH Shielded Molded Inductor 5A 24mOhm Max Nonstandard"                                                                                             
J13        "NO Bridge"                                  BottomLayer NO_SOLDERBRIDGE_0603             875.000       1390.000      360      "NO PCB Bridge (May be closed by a solder blob)"                                                                                                     
J10        "NO Bridge"                                  BottomLayer NO_SOLDERBRIDGE_0603             1075.000      1240.000      270      "NO PCB Bridge (May be closed by a solder blob)"                                                                                                     
J8         "NO Bridge"                                  BottomLayer NO_SOLDERBRIDGE_0603             2175.000      2000.000      180      "NO PCB Bridge (May be closed by a solder blob)"                                                                                                     
J7         "NO Bridge"                                  BottomLayer NO_SOLDERBRIDGE_0603             2300.000      1925.000      180      "NO PCB Bridge (May be closed by a solder blob)"                                                                                                     
J4         "NO Bridge"                                  BottomLayer NO_SOLDERBRIDGE_0603             2600.000      725.000       270      "NO PCB Bridge (May be closed by a solder blob)"                                                                                                     
J2         "NO Bridge"                                  BottomLayer NO_SOLDERBRIDGE_0603             2575.000      625.000       360      "NO PCB Bridge (May be closed by a solder blob)"                                                                                                     
J1         "NO Bridge"                                  TopLayer    NO_SOLDERBRIDGE_0603             1765.000      2275.000      360      "NO PCB Bridge (May be closed by a solder blob)"                                                                                                     
G1         Logo_ESD                                     BottomLayer Logo_ESD                         -5825.000     -9555.512     90       ""                                                                                                                                                   
FID3       N/A                                          TopLayer    FIDUCIAL                         3700.000      250.000       90       "Fiducial mark.  There is nothing to buy or mount."                                                                                                  
FID2       N/A                                          TopLayer    FIDUCIAL                         100.000       300.000       90       "Fiducial mark.  There is nothing to buy or mount."                                                                                                  
FID1       N/A                                          TopLayer    FIDUCIAL                         100.000       2475.000      0        "Fiducial mark.  There is nothing to buy or mount."                                                                                                  
FB5        "FERRITE BEAD 1 KOHM 0402 1LN"               BottomLayer L0402                            1605.000      1745.000      180      "1 kOhms @ 100MHz 1  Ferrite Bead 0402 (1005 Metric) 350mA 490mOhm"                                                                                  
FB4        "FERRITE BEAD 470 OHM 0603 1LN"              TopLayer    L0603                            3750.000      1175.000      180      "470 Ohms @ 100MHz 1  Ferrite Bead 0603 (1608 Metric) 500mA 210mOhm"                                                                                 
FB6        "FERRITE BEAD 1 KOHM 0402 1LN"               TopLayer    L0402                            1180.000      985.000       90       "1 kOhms @ 100MHz 1  Ferrite Bead 0402 (1005 Metric) 350mA 490mOhm"                                                                                  
FB3        MPZ1608S300ATAH0                             TopLayer    L0603                            3540.000      1475.000      270      "30 Ohms @ 100MHz 1 Power Line Ferrite Bead 0603 (1608 Metric) 5A 10mOhm"                                                                            
FB2        MPZ1608S300ATAH0                             TopLayer    L0603                            3400.000      1475.000      270      "30 Ohms @ 100MHz 1 Power Line Ferrite Bead 0603 (1608 Metric) 5A 10mOhm"                                                                            
ESP32_MOD  ESP32-WROOM-32D                              BottomLayer MODULE_ESP32-WROOM-32D           662.598       1975.000      270      "Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount"             
D20        MMSZ5226B-7-F                                TopLayer    SOD-123                          3835.006      1024.994      270      "Zener Diode ±5% Surface Mount SOD-123"                                                                                                              
D18        +3V3                                         BottomLayer LED_0603                         1350.000      1325.000      90       "Green 571nm LED Indication - Discrete 2V 0603 (1608 Metric)"                                                                                        
D15        "LED BLUE CLEAR 0603 SMD"                    BottomLayer LED_0603                         3025.000      2625.000      270      "Blue 470nm LED Indication - Discrete 3.3V 0603 (1608 Metric)"                                                                                       
D14        "LED GREEN CLEAR 0603 SMD"                   BottomLayer LED_0603                         2825.000      2625.000      270      "Green 571nm LED Indication - Discrete 2V 0603 (1608 Metric)"                                                                                        
